[1,20]  brock200_1.clq	0.102
[1,20]  brock200_2.clq	0.544
[1,20]  C125.9.clq	0.022
[1,20]  C250.9.clq	0.135
[1,20]  c-fat200-1.clq	558.06
[1,20]  c-fat200-2.clq	400.39
[1,20]  DSJC1000_5.clq	timeout
[1,20]  DSJC500_5.clq	118.59100000000001
[1,20]  gen200_p0.9_44.clq	0.072
[1,20]  gen200_p0.9_55.clq	0.063
[1,20]  hamming6-2.clq	0.006
[1,20]  hamming6-4.clq	0.01
[1,20]  keller4.clq	0.063
[1,20]  keller5.clq	4.784
[1,20]  keller6.clq	timeout
[1,20]  p_hat300-1.clq	294.065
[1,20]  p_hat300-2.clq	1.898
[1,20]  san200_0.7_1.clq	0.123
[1,20]  san200_0.7_2.clq	0.07
[1,20]  sanr200_0.7.clq	0.103
[1,20]  sanr200_0.9.clq	0.059
[1,500] brock200_1.clq	0.082
[1,500] brock200_2.clq	0.428
[1,500] C125.9.clq	0.017
[1,500] C250.9.clq	0.103
[1,500] c-fat200-1.clq	140.007
[1,500] c-fat200-2.clq	110.98599999999999
[1,500] DSJC1000_5.clq	timeout
[1,500] DSJC500_5.clq	102.081
[1,500] gen200_p0.9_44.clq	0.062
[1,500] gen200_p0.9_55.clq	0.057
[1,500] hamming6-2.clq	0.005
[1,500] hamming6-4.clq	0.009
[1,500] keller4.clq	0.039
[1,500] keller5.clq	50.468
[1,500] keller6.clq	timeout
[1,500] p_hat300-1.clq	273.354
[1,500] p_hat300-2.clq	3.93
[1,500] san200_0.7_1.clq	0.123
[1,500] san200_0.7_2.clq	0.069
[1,500] sanr200_0.7.clq	0.12
[1,500] sanr200_0.9.clq	0.062
[1,20]  R10_10.clq	0.004
[1,20]  R10_20.clq	0.003
[1,20]  R10_40.clq	0.003
[1,20]  R160_10240.clq	0.037
[1,20]  R160_10.clq	0.003
[1,20]  R160_1280.clq	397.796
[1,20]  R160_160.clq	0.01
[1,20]  R160_20.clq	0.003
[1,20]  R160_2560.clq	12.83
[1,20]  R160_320.clq	6.255
[1,20]  R160_40.clq	0.009
[1,20]  R160_5120.clq	0.354
[1,20]  R160_640.clq	545.873
[1,20]  R160_80.clq	0.009
[1,20]  R20_10.clq	0.004
[1,20]  R20_160.clq	0.003
[1,20]  R20_20.clq	0.003
[1,20]  R20_40.clq	0.003
[1,20]  R20_80.clq	0.003
[1,20]  R320_10240.clq	timeout
[1,20]  R320_10.clq	0.009
[1,20]  R320_1280.clq	timeout
[1,20]  R320_160.clq	0.009
[1,20]  R320_20480.clq	36.271
[1,20]  R320_20.clq	0.009
[1,20]  R320_2560.clq	timeout
[1,20]  R320_320.clq	0.035
[1,20]  R320_40960.clq	0.363
[1,20]  R320_40.clq	0.009
[1,20]  R320_5120.clq	timeout
[1,20]  R320_640.clq	timeout
[1,20]  R320_80.clq	0.002
[1,20]  R40_10.clq	0.002
[1,20]  R40_160.clq	0.003
[1,20]  R40_20.clq	0.002
[1,20]  R40_320.clq	0.003
[1,20]  R40_40.clq	0.002
[1,20]  R40_640.clq	0.003
[1,20]  R40_80.clq	0.003
[1,20]  R80_10.clq	0.002
[1,20]  R80_1280.clq	0.012
[1,20]  R80_160.clq	0.059
[1,20]  R80_20.clq	0.002
[1,20]  R80_2560.clq	0.006
[1,20]  R80_320.clq	0.195
[1,20]  R80_40.clq	0.002
[1,20]  R80_640.clq	0.043
[1,20]  R80_80.clq	0.003
[1,500] R10_10.clq	0.002
[1,500] R10_20.clq	0.002
[1,500] R10_40.clq	0.002
[1,500] R160_10240.clq	0.03
[1,500] R160_10.clq	0.003
[1,500] R160_1280.clq	57.744
[1,500] R160_160.clq	0.003
[1,500] R160_20.clq	0.002
[1,500] R160_2560.clq	17.951
[1,500] R160_320.clq	104.28
[1,500] R160_40.clq	0.002
[1,500] R160_5120.clq	0.309
[1,500] R160_640.clq	580.478
[1,500] R160_80.clq	0.003
[1,500] R20_10.clq	0.002
[1,500] R20_160.clq	0.002
[1,500] R20_20.clq	0.002
[1,500] R20_40.clq	0.002
[1,500] R20_80.clq	0.002
[1,500] R320_10240.clq	timeout
[1,500] R320_10.clq	0.002
[1,500] R320_1280.clq	timeout
[1,500] R320_160.clq	0.003
[1,500] R320_20480.clq	31.414
[1,500] R320_20.clq	0.002
[1,500] R320_2560.clq	timeout
[1,500] R320_320.clq	0.108
[1,500] R320_40960.clq	0.294
[1,500] R320_40.clq	0.002
[1,500] R320_5120.clq	timeout
[1,500] R320_640.clq	timeout
[1,500] R320_80.clq	0.003
[1,500] R40_10.clq	0.002
[1,500] R40_160.clq	0.003
[1,500] R40_20.clq	0.002
[1,500] R40_320.clq	0.003
[1,500] R40_40.clq	0.002
[1,500] R40_640.clq	0.003
[1,500] R40_80.clq	0.002
[1,500] R80_10.clq	0.002
[1,500] R80_1280.clq	0.012
[1,500] R80_160.clq	0.327
[1,500] R80_20.clq	0.002
[1,500] R80_2560.clq	0.006
[1,500] R80_320.clq	0.147
[1,500] R80_40.clq	0.002
[1,500] R80_640.clq	0.033
[1,500] R80_80.clq	0.006
